PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Karge, M; Irrgang, KD; Renger, G								Analysis of the reaction coordinate of photosynthetic water oxidation by kinetic measurements of 355 nm absorption changes at different temperatures in photosystem II preparations suspended in either H2O or D2O								BIOCHEMISTRY				36	29			8904	8913		10.1021/bi962342g				JUL 22 1997	1997	Flash-induced absorption changes at 355 nm were measured at different temperatures within the range of 2 degrees C less than or equal to curly theta less than or equal to 25 degrees C in dark-adapted PS II core complexes from spinach [O-2 evolution rate: 1500 +/- 100 mu mol of O-2 (mg of Chi)(-1) h(-1)] that were dissolved either in H2O- or in D2O-containing buffer. Comparative measurements were performed at 20 degrees C in H2O- or D2O-containing suspensions of PS II membrane fragments [O-2 evolution rate: 600 +/- 40 mu mol of O-2 (mg of Chi)(-1) h(-1)]. The results obtained reveal the following: (a) The activation energies of the individual redox steps in the water oxidizing complex (WOC) are dependent on the redox state S-i with E-A(S-1-->S-2) = 14 kJ/mol, E-A(S-2-->S-3) = 35 kJ/mol, and. E-A(S-3-->-->S-0 + O-2) = 21 kJ/mol for curly theta > 11 degrees C, 67 kJ/mol for curly theta < 11 degrees C in PS II core complexes dissolved in H2O; (b) replacement of exchangeable protons by deuterons causes only minor changes (less than or equal to 15%) of the activation energies; and (c) the rate constants of these reactions in PS II fore complexes are characterized by H/D isotope ratios, k(i)(H)/k(i)(D), of 1.6, 2.3, and 1.5 for the transitions S-1-->S-2, S-2-->S3, and S-3-->-->S-0 + O-2, respectively. The corresponding values of PS II membrane fragments are 1.3, 1.3, and 1.4, Based on these results and corresponding E-A data reported in the literature for PS II membrane fragments from spinach [Renger, G., & Hanssum, B. (1992) FEES Lett. 299, 28-32] and PS II particles from the thermophilic cyanobacterium Synechococcus vulcanus Copeland [Koike, II., Hanssum, B., Inoue, Y., & Renger, G. (1987) Biochim. Biophys. Acta 893, 524-533], the reaction coordinate of the redox sequence in the WOC is inferred to be almost invariant to the evolutionary development from cyanobacteria to higher plants. Furthermore, the rather high activation energy of the S-2-->S-3 transition provides evidence fur a significant structural change coupled with this reaction, Implications for the mechanism of photosynthetic water oxidation are discussed.									102	1	0	0	68	0	102			0006-2960			WOS:A1997XM53800028	9220978	
J	Zhang, Ying; Simonov, Alexandr N.; Zhang, Jie; Bond, Alan M.				Bond, Alan M/Y-7128-2018; Zhang, Jie/E-1525-2011; Simonov, Alexandr/B-6236-2015	Bond, Alan M/0000-0002-1113-5205; Zhang, Jie/0000-0003-2493-5209; Simonov, Alexandr/0000-0003-3063-6539			Fourier transformed alternating current voltammetry in electromaterials research: Direct visualisation of important underlying electron transfer processes								CURRENT OPINION IN ELECTROCHEMISTRY				10				72	81		10.1016/j.coelec.2018.04.016				AUG 2018	2018	Recent advances in materials science have significantly broadened the range of electrodes available for use in dynamic forms of electrochemistry. In the modern era of dc voltammetry when the kinetic model of electron transfer with coupled chemical reactions was introduced, initial emphasis in theory-experiment comparison was placed on use of the ideal homogenous liquid mercury electrode with significant attention also given to polycrystalline and faceted metal electrodes. Nowadays, there are a plethora of carbon-based electrodes such as glassy carbon, edge and basal plane graphite, boron doped diamond, graphene and carbon nanotubes that may be extremely heterogeneous. These are supplemented by chemical modifications designed for example to improve the efficiency of electrocatalysis. In this review, it is shown that analysis of the higher harmonics available in large amplitude Fourier transformed alternating current voltammetry (FTacV) allows key processes to be detected, that are masked under commonly used dc voltammetric conditions. In particular it is shown how underlying fast electron processes that facilitate carbon dioxide reduction at tin electrodes and oxygen evolution at cobalt based electrodes can be directly detected and analysed for the first time. FTacV also experimentally reveals that structural defects or adatoms can give rise to well-defined higher order ac harmonics suggesting that a fast electron transfer process is associated with the active sites during electrocatalytic oxidation or reduction. Importantly, electron transfer processes often can be evaluated by FTacV in the presence and absence of the electrocatalysis, unlike dc voltammetric methods. The ability to analyse third and higher order ac harmonics that are essentially devoid of background charging current and which allow the electron transfer and catalytic steps to be resolved, presents new opportunities for fundamental advances in understanding complex electrochemical reaction mechanisms taking place at heterogeneous electrodes. Related advantages in studying electron transfer of surface confined metallo-enzymes or proteins in the presence and absence of their catalytically oxidised or reduced biologically relevant substrate partners are also surveyed. Finally, prospects for providing quantitative accounts of complex reactions at highly heterogeneous electrodes by FTacV are considered.									21	0	0	0	2	0	21			2451-9103			WOS:000442800000013		
J	Wang, Na; Ma, Wenjie; Ren, Ziqiu; Zhang, Leijiang; Qiang, Rong; Lin, Kun-Yi Andrew; Xu, Ping; Du, Yunchen; Han, Xijiang				Du, Yunchen/K-9539-2018; Xu, Ping/I-1910-2013; Lin, Kun-Yi/B-2503-2015	Du, Yunchen/0000-0002-5157-2290; Xu, Ping/0000-0002-1516-4986; Lin, Kun-Yi/0000-0003-1058-3097; Ma, wenjie/0000-0002-4730-3629			Template synthesis of nitrogen-doped carbon nanocages-encapsulated carbon nanobubbles as catalyst for activation of peroxymonosulfate								INORGANIC CHEMISTRY FRONTIERS				5	8			1849	1860		10.1039/c8qi00256h				AUG 1 2018	2018	Nitrogen-doped carbon nanocages-encapsulated carbon nanobubbles (CBs@NCCs) were feasibly fabricated by the in situ thermal conversion of Co-Fe Prussian blue analogues (Co-Fe PBAs) coated with polydopamine (PDA) shells. Interestingly, PBA cores can act as a self-sacrificing template and decompose during high-temperature treatment. PDA shells play a crucial role in stabilizing the steric architecture, supplementing nitrogen-doping of CBs@NCCs under high-temperature treatments. When compared with carbon nanobubbles (CBs) without the protection of carbon nanocages, CBs@NCCs possess higher specific surface area and pore volume. The contributions of a unique configuration and proper nitrogen modification are significant for improving the peroxymonosulfate (PMS) activation performance of CBs@NCCs, which is expected to be a promising alternative to other conventional carbocatalysts and metal oxides. Moreover, the applicability of the as-synthesized carbocatalysts was systematically investigated by adjusting several operating parameters, and some ubiquitous anions and natural organic matters (NOMs) were also taken into account in methylene blue (MB) degradation. The radical evolution and PMS activation mechanism are investigated by radical quenching and electron paramagnetic resonance (EPR) tests, which revealed that sulfate radicals (SO4-) and singlet oxygen (O-1(2)) are simultaneously responsible for the overall MB removal in a CBs@NCCs-800/PMS system. This study may provide a broader perspective for upgrading the catalytic efficiency of various green heterogeneous carbocatalysts.									39	5	0	0	12	0	41			2052-1553			WOS:000442606200012		
J	Shi, Yahui; Li, Jinsong; Sun, Yishu; Wan, Dongjin; Wan, Heyu; Wang, Yifan					Shi, Yahui/0000-0003-4626-7897; Wan, Dongjin/0000-0003-4656-5544			FeOOH coupling and nitrogen vacancies functionalized g-C3N4 heterojunction for efficient degradation of antibiotics: Performance evaluation, active species evolution and mechanism insight								JOURNAL OF ALLOYS AND COMPOUNDS				903						163898	10.1016/j.jallcom.2022.163898				MAY 15 2022	2022	In this study, the highly active g-C3N4-based photocatalysts were first constructed by assembling amorphous FeOOH nanoparticles on g-C3N4 nanosheets with nitrogen defects (FeOOH NPs/Nvac-CNNS). Such photocatalysts showed 92.83% and 73.86% degradation and mineralization efficiency of the oxytetracycline hydrochloride (OTC) within 90 min, respectively. Meanwhile, Response Surface Method (RSM) predicted that under optimal conditions (electricity 18.586 A, initial pH 6.371 and dosage 0.6 g/L), OTC degradation efficiency of 94.331% can be achieved. FeOOH NPs/Nvac-CNNS exhibited the excellent reutilization and practical application potential in OTC pollution purification of high and low concentration. The synergistic effect of N vacancies and FeOOH coupling endowed CNNS with advantages, such as the carrier's fast separation, good visible-light adsorption, H2O2 fast decomposition and excellent molecular oxygen activation. Such advantages greatly contribute to OTC efficient removal in water. Based on the liquid chromatographmass spectrometer (LC-MS) analysis, the five possible degradation pathways of OTC were provided. Furthermore, through the quantitative structure-activity relationship (QSAR) analysis, biological toxicity prediction results of OTC and its intermediates indicated that the FeOOH NPs/Nvac-CNNS/vis system had great potential to achieve green and harmless treatment of OTC pollution. (c) 2022 Elsevier B.V. All rights reserved.									5	0	0	0	2	0	5			0925-8388	1873-4669		WOS:000749795800002		
J	St John, Samuel; Nan, Zhipeng; Hu, Naiping; Schaefer, Dale W.; Angelopoulos, Anastasios P.								A nanoscale-modified LaMer model for particle synthesis from inorganic tin-platinum complexes								JOURNAL OF MATERIALS CHEMISTRY A				1	31			8903	8916		10.1039/c3ta11552f				2013	2013	The size-tunable structure and properties of Pt nanoparticles at the atomic length scale have attracted significant attention across a wide variety of fields including magnetics, electrocatalysis, optics, and gas-phase synthesis. Mechanisms responsible for the formation Pt nanoparticles remain unclear because of the difficulty generating in situ data for the time-evolution of size, shape, distribution, volume fraction, particle number density, and oxidation state from the starting complexes. We here demonstrate the use of simultaneous small-and wide-angle X-ray scattering combined with UV-vis spectroscopy to measure these key synthesis metrics for the reduction of Pt(IV) by Sn(II) in aqueous solution. This synthesis approach has been previously shown to permit continuous control over Pt nanoparticle size from 0.9 to 2.6 nm to within 10% standard deviation. Such fine control led to the discovery of densely packed amorphous structures at ca. 1.7 nm with substantially enhanced electrocatalytic oxygen reduction relative to nanocrystals and commercial electrocatalysts. Ex situ UV-vis and in situ X-ray scattering are here shown to reveal four distinct stages during synthesis: (1) autoreduction of a ligand/noble metal complex with a unique structure that depends on the Sn(II)/Pt(II) ratio, (2) generation of Pt primary particles and the formation of Pt nuclei at a rate that depends on the structure of the initial complex, (3) nanoparticle growth via LaMer's diffusion of these primary particles to the nuclei, and (4) growth termination due to capping from a stabilizing, two-layer ligand shell. We derive a set of consecutive rate equations and associated kinetic parameters that describe each step. The kinetics of ligand rearrangement has been previously found to limit the rate of nanoparticle growth. We incorporate this phenomenon into LaMer's classic diffusion-limited growth scheme to extend it to the nanoscale regime. This new model provides detailed understanding of how metal ligands serve as both reducing and stabilizing agents and allow for unprecedented, continuous control over both size and distribution. Systematic variation of temperature permits detailed time resolution at the very onset of Pt primary particle formation, as well as a means to determine temperature sensitivity of nanoparticle growth.									16	0	0	0	0	0	16			2050-7488	2050-7496		WOS:000321864300028		
J	Hideg, E; Mano, J; Ohno, C; Asada, K				Mano, Jun'ichi/K-7437-2019	Mano, Jun'ichi/0000-0001-5030-8845			Increased levels of monodehydroascorbate radical in UV-B-irradiated broad bean leaves								PLANT AND CELL PHYSIOLOGY				38	6			684	690		10.1093/oxfordjournals.pcp.a029221				JUN 1997	1997	Light-induced monodehydroascorbate (MDA) radical production was not detectable by EPR spectroscopy in untreated broad bean leaves, but it was observed after exposing the leaves to UV-B (280-320 nm) irradiation. After this pre-treatment, a low level of MDA radicals was also detectable without illumination. Light-induced MDA, MDA production in the dark, oxygen evolution, quantum yield of PSII as measured by Chi fluorescence, MDA producing and reducing enzyme activities were determined and compared in leaves after irradiation with various doses of UVB. Our results suggest that UV-B irradiation disturbs the balance of MDA radical production and reduction, resulting in increased light induced MDA signal. The enhancement of ascorbate photooxidation at the UV-B damaged donor side of PSII appears as a major factor in this process.									52	0	1	0	42	0	53			0032-0781	1471-9053		WOS:A1997XF27600006		
J	Huang, Lin-Bo; Zhao, Lu; Zhang, Yun; Chen, Yu-Yun; Zhang, Qing-Hua; Luo, Hao; Zhang, Xing; Tang, Tang; Gu, Lin; Hu, Jin-Song				Zhang, Qinghua/L-7652-2019; Zhang, Qinghua/D-1920-2011; Tang, Tang/ABB-3420-2020; Hu, Jin-Song/E-1001-2011; Chen, Yuyun/O-3952-2019; Tang, Tang/ABB-3442-2020; Chen, Yuyun/W-4667-2018; Gu, Lin/D-9631-2011	Zhang, Qinghua/0000-0001-9086-7000; Zhang, Qinghua/0000-0001-9086-7000; Tang, Tang/0000-0002-6504-4296; Hu, Jin-Song/0000-0002-6268-0959; Chen, Yuyun/0000-0001-6041-3104; Tang, Tang/0000-0002-6504-4296; Gu, Lin/0000-0002-7504-031X			Self-Limited on-Site Conversion of MoO3 Nanodots into Vertically Aligned Ultrasmall Monolayer MoS2 for Efficient Hydrogen Evolution								ADVANCED ENERGY MATERIALS				8	21					1800734	10.1002/aenm.201800734				JUL 25 2018	2018	MoS2 has emerged as a promising alternative electrocatalyst for the hydrogen evolution reaction (HER) due to high intrinsic per- site activity on its edge sites and S-vacancies. However, a significant challenge is the limited density of such sites. Reducing the size and layer number of MoS2 and vertically aligning them would be an effective way to enrich and expose such sites for HER. Herein, a facile self-limited on-site conversion strategy for synthesizing monolayer MoS2 in a couple of nanometers which are highly dispersed and vertically aligned on 3D porous carbon sheets is reported. It is discovered that the preformation of well-dispersed MoO3 nanodots in 1-2 nm as limited source is the key for the fabrication of such an ultrasmall MoS2 monolayer. As indicated by X-ray photoelectron spectroscopy and electron spin resonance data, these ultrasmall MoS2 monolayers are rich in accessible S-edge sites and vacancies and the smaller MoS2 monolayers the more such sites they have, leading to enhanced electrocatalytic activity with a low overpotential of 126 mV at 10 mA cm(-2) and 140 mV at 100 mA mg(-1) for HER. This state-of-the-art performance for MoS2 electrocatalysts enables the present strategy as a new avenue for exploring well-dispersed ultrasmall nanomaterials as efficient catalysts.									110	7	0	0	3	0	111			1614-6832	1614-6840		WOS:000445666000004		
J	Boichenko, VA; Klimov, VV; Miyashita, H; Miyachi, S								Functional characteristics of chlorophyll d-predominating photosynthetic apparatus in intact cells of Acaryochloris marina								PHOTOSYNTHESIS RESEARCH				65	3			269	277		10.1023/A:1010637631417				2000	2000	Functional organization of the photosynthetic apparatus in the unique chlorophyll d-predominating prokaryote, Acaryochloris marina, was studied using polarographic measurements of single-turnover flash yields, action spectra and optical cross sections for PS-specific reactions. O-2 evolution was indicative of PS II activity, while reversible photoinhibition of respiratory O-2 uptake under aerobic conditions in the presence of DCMU and H-2 photoevolution by anaerobically adapted cells were the indicatives of PS I activity. O-2 evolution in the cells upon single-turnover flashes followed the normal S-state cycle with a period-4 oscillation. Analysis of action spectra for the partial reactions of photosynthesis revealed that: (1) distinct spectral forms of Chl d are nonuniformly distributed between PS I and PS II, e.g. Chl d-695 and Chl d-735 are preferentially located in PS II and PS I, respectively; (2) a minor fraction of Chl a in the cells belongs mostly to PS II; (3) biliproteins transfer excitation energy both to PS II and, with a lower efficiency, PS I; (4) the efficiency of energy transfer from biliproteins to PS II depends on the light quality growth conditions and is larger in white light (WL)-grown cells compared to the red light (RL)-grown cells. Content of functional O-2 evolving PS II centers decreases 2 times in the RL-grown cells relative to the WL-grown cells, whereas content of competent PS I centers involved in photoinhibition of respiration remains almost the same in both the cultures. The effective antenna size of PS I was estimated to be 80-90 Chl d including 3-10 molecules absorbing at 735 nm. The effective optical cross-section of PS II corresponded to 90-100 Chl d and, presumably, 4 Chl a + 2 Pheo a [Mimuro et al. (1999) Biochim Biophys Acta 1412: 37-46]. Optical cross-section measurements indicated that the functional PS II units of A. marina attach one rod of four hexameric units of biliproteins.									37	1	0	0	33	0	38			0166-8595	1573-5079		WOS:000167853900007	16228493	
J	Saha, Manas; Ghosh, Sirshendu; De, Subodh Kumar								Nanoscale Kirkendall Effect Driven Au Decorated CdS/CdO Colloidal Nanocomposites for Efficient Hydrogen Evolution, Photocatalytic Dye Degradation and Cr (VI) Reduction								CATALYSIS TODAY				340		SI		253	267		10.1016/j.cattod.2018.11.027				JAN 15 2020	2020	The design of a facile and scalable method to synthesize solar light driven photocatalyst to generate H-2 from water and degradation of toxic dyes from waste water is highly challenging field of research. Here, we are reporting a one pot synthesis of CdS/CdO colloidal nanocomposite with variable amount of CdS thickness and finally CdS nanoring. Different outward diffusion rate of oxygen and inward diffusion rate of sulphur ions generates hollow CdS/CdO nanocomposite based on nanoscale Kirkendall effect. Au nanoparticles (NPs) have been selectively deposited over CdS. Proper band alignment among CdO, CdS and Au results in a Z-type photocatalyst. Efficient spatial charge separation and large surface area lead to high photocatalytic dye degradation and Cr (VI) reduction in water. The amount of Cd in purified water is lesser than 0.003 ppm which maintains world Health Organization (WHO) guideline. The as developed catalyst is also active for generation of H-2 from water in presence of solar light irradiation. Our present work may provide a promising way to fabricate an efficient photocatalyst for dye degradation and solar to fuel energy conversion using semiconductor (CdO)semiconductor (CdS)-metal (Au) nanocomposite.									18	2	0	0	2	0	19			0920-5861	1873-4308		WOS:000491876500031		
J	Lopes, Thamirys Andrade; Bufalino, Lina; Cunha Claro, Pedro Ivo; Martins, Maria Alice; Denzin Tonoli, Gustavo Henrique; Mendes, Lourival Marin				tonoli, gustavo hd/I-4821-2013; Bufalino, Lina/AAI-8235-2020; Bufalino, Lina/AAL-8286-2021; Cunha Claro, Pedro Ivo/B-6608-2016	tonoli, gustavo hd/0000-0002-6502-8974; Cunha Claro, Pedro Ivo/0000-0002-7564-9096; Bufalino, Lina/0000-0002-7688-3140			The effect of surface modifications with corona discharge in pinus and eucalyptus nanofibril films								CELLULOSE				25	9			5017	5033		10.1007/s10570-018-1948-3				SEP 2018	2018	The corona treatment is promising for the improvement of the quality of fabrics and composites, but there are only a few studies on its effectiveness for surface modification of nanofibril films for printing and packaging purposes. This investigation aimed to evaluate the effect of the evolution of corona discharge exposition on the superficial, physical and mechanical properties of eucalyptus and pinus nanofibril films. Cellulose nanofibrils were produced from commercial bleached cellulose pulps after 30 passages in a SuperMasscolloider Grinder. Films were formed by a casting method. The corona discharge treatment was applied for 10, 30, 60, and 300 s at a distance of 3 cm. Furthermore, the duration of the surface modification was evaluated after 6, 24, 48, 72, and 96 h. The corona discharge promoted the formation of hydroxyl, carbonyl, and other functional groups by breaking C-C bonds and their subsequent reaction with oxygen. The best corona treatment time was 30 s, for which maximum water vapor permeability of 13.1 and 14.2 g mm/KPa day m(2) was found for the eucalyptus and pinus films, respectively. In addition, maximum water absorption (of around 35%) was observed for films of both genera treated for 30 s. The tensile strength increased in response to increasing corona treatment exposition. Pinus nanofibril films showed better performance than eucalyptus nanofibril films due to their higher crystalline index and nanofibril dimensions. Through the analysis of contact angle and surface energy, it was verified that printing of corona treated nanofibril films should be carried out for up to 24 h when the films still exhibit the treatment effect.									7	0	0	0	2	0	7			0969-0239	1572-882X		WOS:000441935500012		
